0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> USE team13_projectdb;
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> 
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> DROP TABLE IF EXISTS q3_results;
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> CREATE EXTERNAL TABLE q3_results
. . . . . . . . . . . . . . . . . . . . . . .> (
. . . . . . . . . . . . . . . . . . . . . . .>     raised_amount_mln_usd FLOAT,
. . . . . . . . . . . . . . . . . . . . . . .>     time_gap              INTEGER
. . . . . . . . . . . . . . . . . . . . . . .> )
. . . . . . . . . . . . . . . . . . . . . . .>     ROW FORMAT DELIMITED
. . . . . . . . . . . . . . . . . . . . . . .>         FIELDS TERMINATED BY ','
. . . . . . . . . . . . . . . . . . . . . . .>     location 'project/hive/warehouse/q3';
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> 
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> INSERT INTO q3_results
. . . . . . . . . . . . . . . . . . . . . . .> SELECT raised_amount_mln_usd, (funded_at_year - founded_at_year) AS time_gap
. . . . . . . . . . . . . . . . . . . . . . .> FROM (SELECT id, year(founded_at) AS founded_at_year
. . . . . . . . . . . . . . . . . . . . . . .>       FROM objects_part
. . . . . . . . . . . . . . . . . . . . . . .>       WHERE entity_type = 'Company'
. . . . . . . . . . . . . . . . . . . . . . .>         AND category_code IS NOT NULL
. . . . . . . . . . . . . . . . . . . . . . .>         AND country_code IS NOT NULL
. . . . . . . . . . . . . . . . . . . . . . .>         AND founded_at IS NOT NULL) companies
. . . . . . . . . . . . . . . . . . . . . . .>          JOIN (SELECT x.object_id, x.funded_at_year, ROUND(raised_amount_usd / POW(10, 6), 2) as raised_amount_mln_usd
. . . . . . . . . . . . . . . . . . . . . . .>                FROM funding_rounds_part x
. . . . . . . . . . . . . . . . . . . . . . .>                         JOIN
. . . . . . . . . . . . . . . . . . . . . . .>                     (SELECT object_id,
. . . . . . . . . . . . . . . . . . . . . . .>                             MAX(
. . . . . . . . . . . . . . . . . . . . . . .>                                     named_struct(
. . . . . . . . . . . . . . . . . . . . . . .>                                             'raised_amount_mln_usd', ROUND(raised_amount_usd / POW(10, 6), 2),
. . . . . . . . . . . . . . . . . . . . . . .>                                             'funded_at_year', funded_at_year
. . . . . . . . . . . . . . . . . . . . . . .>                                     )
. . . . . . . . . . . . . . . . . . . . . . .>                             ).funded_at_year
. . . . . . . . . . . . . . . . . . . . . . .>                      FROM funding_rounds_part
. . . . . . . . . . . . . . . . . . . . . . .>                      GROUP BY object_id) y
. . . . . . . . . . . . . . . . . . . . . . .>                     ON x.object_id = y.object_id AND x.funded_at_year = y.funded_at_year) max_raised_amount
. . . . . . . . . . . . . . . . . . . . . . .>               ON companies.id = max_raised_amount.object_id;
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> 
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> 
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> SELECT *
. . . . . . . . . . . . . . . . . . . . . . .> FROM q3_results
. . . . . . . . . . . . . . . . . . . . . . .> LIMIT 100;
+------------------------+-----------+
| raised_amount_mln_usd  | time_gap  |
+------------------------+-----------+
| 0.0                    | 0         |
| 6.5                    | 8         |
| 0.38                   | 8         |
| 2.5                    | 1         |
| 0.35                   | 0         |
| 0.0                    | 0         |
| 11.79                  | 6         |
| 0.5                    | 1         |
| 21.57                  | 0         |
| 0.0                    | 0         |
| 0.23                   | 0         |
| 0.0                    | 1         |
| 0.15                   | -1        |
| 0.02                   | 0         |
| 1.5                    | 1         |
| 1.0                    | 12        |
| 2.39                   | 2         |
| 1.3                    | 1         |
| 7.25                   | 4         |
| 0.51                   | 0         |
| 0.0                    | 1         |
| 11.0                   | 2         |
| 0.05                   | 4         |
| 1.5                    | 2         |
| 2.5                    | 2         |
| 8.7                    | 4         |
| 8.0                    | 6         |
| 4.0                    | 10        |
| 40.0                   | 5         |
| 3.99                   | 4         |
| 0.25                   | 0         |
| 0.0                    | 1         |
| 1.0                    | 1         |
| 0.5                    | 1         |
| 3.0                    | 1         |
| 0.0                    | 0         |
| 0.5                    | 3         |
| 0.05                   | 1         |
| 0.2                    | 1         |
| 0.3                    | 2         |
| 6.6                    | 4         |
| 0.0                    | 4         |
| 0.27                   | 4         |
| 2.75                   | 1         |
| 0.0                    | 5         |
| 40.0                   | 5         |
| 3.5                    | 2         |
| 2.0                    | 1         |
| 10.0                   | 1         |
| 12.0                   | 1         |
| 0.7                    | 4         |
| 50.0                   | 6         |
| 0.5                    | 7         |
| 2.2                    | 2         |
| 1.0                    | 1         |
| 20.0                   | 3         |
| 11.6                   | 12        |
| 3.8                    | 4         |
| 0.0                    | 7         |
| 0.09                   | 1         |
| 8.29                   | 2         |
| 1.23                   | 1         |
| 0.18                   | 11        |
| 25.25                  | 8         |
| 0.0                    | 0         |
| 12.7                   | 2         |
| 1.1                    | 1         |
| 0.07                   | 2         |
| 0.7                    | 0         |
| 2.1                    | 2         |
| 0.0                    | 3         |
| 3.0                    | 3         |
| 3.0                    | 3         |
| 0.0                    | 8         |
| 0.4                    | 3         |
| 0.12                   | 3         |
| 21.0                   | 3         |
| 1.25                   | 1         |
| 0.46                   | 0         |
| 2.5                    | 2         |
| 4.0                    | 1         |
| 4.0                    | 1         |
| 6.3                    | 1         |
| 12.12                  | 5         |
| 0.0                    | 5         |
| 2.0                    | 3         |
| 0.03                   | 0         |
| 5.6                    | 3         |
| 13.0                   | 7         |
| 8.0                    | 0         |
| 1.0                    | 0         |
| 3.64                   | 4         |
| 1.0                    | 1         |
| 0.14                   | 7         |
| 6.3                    | 4         |
| 0.6                    | -1        |
| 0.0                    | 2         |
| 5.5                    | 1         |
| 81.0                   | 6         |
| 66.0                   | 6         |
+------------------------+-----------+
0: jdbc:hive2://hadoop-03.uni.innopolis.ru:10> 
